	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category
194	Que es importante ?	O have una buena pelea	what is important ?	o have a good tussle	80.0	['o', 'una', 'pelea', 'buena']	2

195	Who was robin ?	a little baby bird	Who was robin ?	a little baby bird	25.0	['a']	0

196	Qué did she publish en 1998?	The Death de Adam: ensayos on Modern Thought,	What did she publish in 1998?	The Death of Adam: Essays on Modern Thought,	37.5	['ensayos', 'adam', 'de']	1

197	What negocio cinematográfico fue fundada en 1918?	CBC Corporación de ventas de películas	What film business was founded in 1918?	CBC Film Sales Corporation	100.0	['películas', 'corporación', 'de', 'ventas', 'cbc']	2

198	¿Hay a lot of them?	Sí a lot of pigs	Are there a lot of them?	yes a lot of pigs	20.0	['sí']	0

199	Qué es the Mongol reputation en history?	they tener un fearsome reputation	What is the Mongol's reputation in history?	they had a fearsome reputation	40.0	['tener', 'un']	1

200	what ¿Lo hizo cuando él came ¿hogar?	él fue a lo alto escuela	what did he do when he came home?	he went to high school	100.0	['alto', 'a', 'escuela', 'fue', 'él', 'lo']	2

201	what was their purpose?	to correct an eye problem	what was their purpose?	to correct an eye problem	0.0	[]	0

202	What did ella supuestamente hacer para comenzar el altercation?	dio a pointed discurso	What did she allegedly do to start the altercation?	gave a pointed speech	50.0	['discurso', 'dio']	1

203	Que poder the base rastrear ¿Volver a?	una reunión el 31 de mayo de 1850 de nueve empresarios prominentes de Chicago, líderes metodistas y attorneys	Who can the foundation be traced back to?	a meeting on May 31, 1850 of nine prominent Chicago businessmen, Methodist leaders and attorneys	93.33	['nueve', 'empresarios', 'reunión', 'líderes', '1850', 'prominentes', 'metodistas', 'mayo', 'de', 'el', 'y', 'chicago', 'una', '31']	2

204	what was Danny talking about?	The talent contest	what was Danny talking about?	The talent contest	0.0	[]	0

205	Who Es esto style de pensamiento named ¿después?	John Maynard Keynes	Who is this style of thinking named after?	John Maynard Keynes	66.67	['john', 'maynard']	1

206	Who ¿Estaba ayudando?	el Siete bahá'í líder	Who was he helping?	the seven Bahá'í leaders	100.0	['líder', 'baháí', 'el', 'siete']	2

207	Qué is it called in Tennessee?	"as a ""Lonsdale Ham"" sandwich,"	What is it called in Tennessee?	"as a ""Lonsdale Ham"" sandwich,"	0.0	[]	0

208	Quien es el main audience for VOA?	An internacional audiencia.	Who is the main audience for VOA?	An international audience.	66.67	['internacional', 'audiencia']	1

209	Bajo a quien hicieron ganar poder?	Rey Casimir III the Excelente	Under whom did they gain power?	King Casimir III the Great	80.0	['rey', 'iii', 'casimir', 'excelente']	2

210	Why was he well-known?	Sex Pistols gerente	Why was he well-known?	Sex Pistols manager	33.33	['gerente']	0

211	Where did Mitch ve al otro day?	a el store	Where did Mitch go to the other day?	to the store	66.67	['a', 'el']	1

212	¿Por qué no ha ido a school?	porque él tiene Pasé mucho tiempo en hospital	Why hasn't he gone to school?	because he has spent a lot of time in hospital	100.0	['tiempo', 'en', 'hospital', 'pasé', 'él', 'tiene', 'porque', 'mucho']	2

213	What was the name of the competition he compitió en?	Dunhill Links Campeonato	What was the name of the competition he competed in?	Dunhill Links Championships	33.33	['campeonato']	0

214	How does ella feel acerca de ¿jugando?	she disfrutar él	How does she feel about playing?	she enjoys it	66.67	['él', 'disfrutar']	1

215	qué ¿Fue?	"""Voz real, real música """	what was it?	"""Real voice, real music """	100.0	['música', 'voz', 'real']	2

216	Who es Burton Baskin?	His sister's husband who also opened his own ice crema stores.	Who is Burton Baskin?	His sister's husband who also opened his own ice cream stores.	9.09	['crema']	0

217	What do ellos ¿proporcionar?	safe, basado en la evidencia dietético advice	What do they provide?	safe, evidence-based dietary advice	50.0	['basado', 'la', 'dietético', 'evidencia', 'en']	1

218	Qué era en el ¿bote?	varios grande pescar el bote.	What was in the boat?	several large fish in the boat.	100.0	['bote', 'varios', 'grande', 'el', 'pescar']	2

219	Where else hizo he play?	Augusta National Golf Club	Where else did he play?	Augusta National Golf Club	25.0	['golf']	0

220	What's the ventaja de dónde el new ¿El capital es?	it es un más estratégico location	What's the advantage of where the new capital is?	it is a more strategic location	66.67	['es', 'estratégico', 'más', 'un']	1

221	Y qué era él called after ¿eso?	"el ""segundo colonial imperio"""	And what was it called after that?	"the ""second colonial empire"""	100.0	['segundo', 'colonial', 'imperio', 'el']	2

222	What are Old Charges?	a series of similar documents	What are Old Charges?	a series of similar documents	20.0	['a']	0

223	Where hizo she keep ¿él?	En un poco glass box	Where did she keep it?	In a little glass box	60.0	['poco', 'en', 'un']	1

224	Nombre los tres grados de fonémico ¿longitud?	Corto, largo, y muy largo.	Name the three degrees of phonemic length?	Short, long, and overlong.	100.0	['y', 'muy', 'largo', 'corto']	2

225	What doesn't always guarantee continued sales?	Providing a valuable service	What doesn't always guarantee continued sales?	Providing a valuable service	0.0	[]	0

226	Lo que contribuye a narrative pacing?	Size y acuerdo of panels	What contributes to narrative pacing?	Size and arrangement of panels	40.0	['y', 'acuerdo']	1

227	Quien puede participar in ¿caridad?	adulto Y niños	Who can take part in charity?	adults and Kids	100.0	['y', 'adulto', 'niños']	2

228	Estaban taken over by anyone else then?	No they were annexed though	Were they taken over by anyone else then?	No they were annexed though	0.0	[]	0

229	who eran el original dwellers?	varios Mesoamericano nations	who were the original dwellers?	several Mesoamerican nations	66.67	['mesoamericano', 'varios']	1

230	Qué es el Biblioteca de Congreso ¿Número de control?	En serie sistema basado de numbering Registros de catalogación	What is the The Library of Congress Control Number?	Serially based system of numbering cataloging records	85.71	['registros', 'basado', 'catalogación', 'de', 'en', 'sistema', 'serie']	2

231	What is it surrounded by?	the greater Sarajevo valley	What is it surrounded by?	the greater Sarajevo valley	25.0	['sarajevo']	0

232	Where were ¿Se nieve?	en the montañas	Where were they snowbound?	in the mountains	66.67	['en', 'montañas']	1

233	What era llamó	el consorcio de aliancea de auricular abierto of hardware, software y telecomunicaciones companies	What was it called	the Open Handset Alliancea consortium of hardware, software, and telecommunication companies	81.82	['auricular', 'hardware', 'software', 'consorcio', 'aliancea', 'abierto', 'de', 'el', 'y', 'telecomunicaciones']	2

234	Where does the horror genre have its roots?	folklore and religious tradiciones	Where does the horror genre have its roots?	folklore and religious traditions	25.0	['tradiciones']	0

235	What tipos de things does it still ¿perdurar?	ethnic conflictos, revolts, economic troubles, transitional gobiernos y políticos conflic	What types of things does it still endure?	ethnic conflicts, revolts, economic troubles, transitional governments and political conflic	40.0	['y', 'gobiernos', 'políticos', 'conflictos']	1

236	Que hizo El cree that tienes que confiar en?	que todo el dotas será conectado en the futuro	What did he believe that you have to trust in?	that all the dots will be connected in the future	90.0	['dotas', 'todo', 'será', 'futuro', 'el', 'que', 'en', 'conectado']	2

237	Why did he throw out the case?	"""No nuevo evidence"""	Why did he throw out the case?	"""No new evidence"""	33.33	['nuevo']	0

238	What él era doing?	corte down a tree	What was he doing?	cutting down a tree	50.0	['a', 'corte']	1

239	¿Por qué se convirtió en un ¿mago?	El encontrado sí mismo incapaz de encontrar un job	Why did he become a magician?	he found himself unable to find a job	87.5	['incapaz', 'mismo', 'encontrar', 'un', 'de', 'el', 'sí', 'encontrado']	2

240	Who is suing her?	A former miembro of Lady Gaga's entourage .	Who is suing her?	A former member of Lady Gaga's entourage .	12.5	['miembro']	0

241	How ¿Él? feel now que él has started doing this?	it has dado him felicidad	How does he feel now that he has started doing this?	it has given him happiness	40.0	['felicidad', 'dado']	1

242	Y el ¿título?	A Correr en el ICE, Y lo que siguió.	And the title?	A RACE ON THE ICE, AND WHAT FOLLOWED.	75.0	['siguió', 'que', 'el', 'y', 'en', 'lo', 'correr']	2

243	What happened to him there?	lost his legs	What happened to him there?	lost his legs	0.0	[]	0

244	What era el nombre of the course?	the Azul Monstruo	What was the name of the course?	the Blue Monster	66.67	['monstruo', 'azul']	1

245	Qué does Salida ¿Siempre di?	Voy a perder peso mañana	What does Sally always say?	I'm going to lose weight tomorrow	100.0	['perder', 'mañana', 'a', 'peso', 'voy']	2

246	what happened in 1829	In 1829 Niépce entered into a asociación with Louis Daguerre	what happened in 1829	In 1829 Niépce entered into a partnership with Louis Daguerre	10.0	['asociación']	0

247	What did corky ¿Cuando llegó a casa?	vertido a glass de leche y terminado his galletas	What did corky do when he got home?	poured a glass of milk and finished his cookies	66.67	['vertido', 'terminado', 'leche', 'de', 'galletas', 'y']	1

248	¿Cómo se aspiran? ¿Suena notados?	por sin voz consonantes siguieron por an aspiration modificador	How are aspirated sounds noted?	by voiceless consonants followed by an aspiration modifier	75.0	['consonantes', 'voz', 'modificador', 'siguieron', 'por', 'sin']	2

249	What son they using it for?	to kill pests	What are they using it for?	to kill pests	0.0	[]	0

250	Qué era it named?	Apolo - Soyuz Test Proyecto	What was it named?	Apollo–Soyuz Test Project	66.67	['proyecto', 'apolo', 'soyuz']	1

251	Quien era él demostración ¿alrededor?	a extranjero visitante	Who was he showing around?	a foreign visitor	100.0	['extranjero', 'a', 'visitante']	2

252	What previous consular did the DS offer backwards compatability with?	Game Boy Advance	What previous consule did the DS offer backwards compatability with?	Game Boy Advance	0.0	[]	0

253	Quien delegó tareas to su vestry?	the parroquia rector	Who delegated tasks to his vestry?	the parish's rector	66.67	['rector', 'parroquia']	1

254	Qué hace él host?	T also organiza la sede del sur de Asia Asociación de Cooperación Regional (SAARC)	What does it host?	t also hosts the headquarters of the South Asian Association for Regional Cooperation (SAARC)	92.86	['t', 'asia', 'la', 'saarc', 'del', 'regional', 'organiza', 'sede', 'sur', 'cooperación', 'de', 'asociación']	2

255	what are ellos in the process of trying to get?	their fourth victory	what are they in the process of trying to get?	their fourth victory	0.0	[]	0

256	who took the Apple de alguien?	Rudolph der Harras	who took the apple from someone?	Rudolph der Harras	66.67	['der', 'harras']	1

257	¿Qué va ella? a jugar en?	he ABIERTO DE MUJERES UNOS MUJERES	What is she going to play in?	he US Women's Open	75.0	['mujeres', 'abierto', 'de', 'unos']	2

258	What record won?	"""El Road to Escondido."""	What record won?	"""The Road to Escondido."""	25.0	['el']	0

259	How did él ¿morir?	of a infarto de miocardio	How did he die?	of a heart attack	50.0	['infarto', 'miocardio', 'de']	1

260	Who fueron algunos de los hombres arrested?	Abdurasul Hasanovich Juraboev, Akhror Sahakhmetov, y Abror Habibov	Who were some of the men arrested?	Abdurasul Hasanovich Juraboev, Akhror Saidakhmetov, and Abror Habibov	87.5	['hasanovich', 'juraboev', 'habibov', 'abror', 'y', 'akhror', 'sahakhmetov']	2

261	What does he expect?	she es yendo to beat the fleet.	What does he expect?	she is going to beat the fleet.	28.57	['es', 'yendo']	0

262	What Danny desearía escuchar todo these?	that he could estar en el crowd al Lowgate ground	What Danny wished hearing all these?	that he could be in the crowd at the Lowgate ground	54.55	['estar', 'lowgate', 'al', 'el', 'en']	1

263	que era ella conocido as?	el mayoría poderoso mujer en América	what was she known as?	the most powerful woman in America	100.0	['mayoría', 'mujer', 'américa', 'el', 'en', 'poderoso']	2

264	Who he was complaining about?	He was disgusted with Inns	Who he was complaining about?	He was disgusted with Inns	0.0	[]	0

265	Who era ¿excavación?	Quintal y McCoy	Who was digging?	Quintal and McCoy	66.67	['y', 'mccoy']	1

266	qué is es hogar ¿a?	Uno de the mayor mayor aprendizaje instituciones en el nuevo World.	what is it home to?	One of the oldest higher-learning institutions in the New World.	80.0	['nuevo', 'mayor', 'uno', 'instituciones', 'el', 'aprendizaje', 'de', 'en']	2

267	Who is the soldier charged in los asesinatos?	Joint Base Lewis-McChord	Who is the soldier charged in the killings?	Joint Base Lewis-McChord	33.33	['lewismcchord']	0

268	What crime fueron cargos siendo filed for?	Boston Bombardeos de maratón.	What crime were charges being filed for?	Boston Marathon bombings.	66.67	['maratón', 'bombardeos', 'de']	1

269	Cuando did él comenzar a convertirse en así?	principios del 19 siglo	When did it start to become so?	early 19th century	100.0	['siglo', 'del', '19', 'principios']	2

270	What phrase did he say?	"""This crusade – este war on terrorism – is going to take a while"""	What phrase did he say?	"""This crusade – this war on terrorism – is going to take a while"""	7.14	['este']	0
